"downloaded","item_id","item_definition","category","8","9","10","11","12","13","14","15","16","17","18"
2026-05-05,34,"baa baa","sounds",0.18,0.22,0.25,0.23,0.26,0.26,0.35,0.35,0.45,0.5,0.59
2026-05-05,35,"choo choo","sounds",0.02,0.02,0.02,0.02,0.05,0.06,0.08,0.16,0.27,0.31,0.37
2026-05-05,36,"cockadoodledoo","sounds",0.01,0.01,0.02,0.02,0.01,0.02,0.03,0.08,0.13,0.14,0.19
2026-05-05,37,"grrr","sounds",0.05,0.09,0.18,0.16,0.17,0.26,0.27,0.33,0.52,0.5,0.57
2026-05-05,38,"meow","sounds",0.01,0.04,0.05,0.06,0.1,0.16,0.18,0.27,0.48,0.5,0.57
2026-05-05,39,"moo","sounds",0.02,0.05,0.07,0.06,0.11,0.18,0.22,0.31,0.51,0.52,0.61
2026-05-05,40,"ouch","sounds",0.02,0.02,0.05,0.04,0.07,0.12,0.15,0.23,0.4,0.38,0.49
2026-05-05,41,"quack quack","sounds",0.02,0.03,0.03,0.06,0.06,0.16,0.18,0.28,0.42,0.4,0.48
2026-05-05,42,"uh oh","sounds",0.05,0.07,0.12,0.19,0.25,0.42,0.42,0.52,0.75,0.68,0.77
2026-05-05,43,"vroom","sounds",0.02,0.05,0.04,0.09,0.13,0.23,0.23,0.36,0.5,0.49,0.54
2026-05-05,44,"woof woof","sounds",0.02,0.03,0.05,0.09,0.16,0.29,0.31,0.42,0.6,0.58,0.67
2026-05-05,45,"yum yum","sounds",0.05,0.09,0.1,0.17,0.2,0.29,0.3,0.33,0.57,0.47,0.54
2026-05-05,46,"animal","animals",0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.04,0.05,0.09,0.1
2026-05-05,47,"bear","animals",0.01,0.01,0.01,0.01,0.03,0.09,0.07,0.18,0.3,0.26,0.32
2026-05-05,48,"bee","animals",0.01,0.01,0.01,0.03,0.03,0.03,0.04,0.07,0.15,0.23,0.31
2026-05-05,49,"bird","animals",0.02,0.01,0.02,0.04,0.07,0.15,0.1,0.24,0.46,0.36,0.46
2026-05-05,50,"bug","animals",0,0.01,0.02,0.02,0.02,0.02,0.04,0.08,0.14,0.16,0.23
2026-05-05,51,"bunny","animals",0.01,0.01,0.01,0.01,0.02,0.05,0.05,0.16,0.2,0.23,0.3
2026-05-05,52,"butterfly","animals",0,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.07,0.11,0.17
2026-05-05,53,"cat","animals",0.04,0.03,0.03,0.08,0.1,0.18,0.17,0.33,0.41,0.4,0.47
2026-05-05,54,"chicken (animal)","animals",0.01,0,0.01,0.01,0.02,0.02,0.03,0.06,0.08,0.15,0.17
2026-05-05,55,"cow","animals",0.01,0.01,0.01,0.03,0.03,0.04,0.05,0.13,0.2,0.24,0.3
2026-05-05,56,"deer","animals",0.01,0,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.07,0.08
2026-05-05,57,"dog","animals",0.04,0.03,0.08,0.15,0.18,0.35,0.3,0.47,0.63,0.56,0.65
2026-05-05,58,"donkey","animals",0.01,0,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.05,0.06
2026-05-05,59,"duck","animals",0.02,0.01,0.03,0.06,0.07,0.19,0.14,0.27,0.43,0.38,0.49
2026-05-05,60,"elephant","animals",0.01,0,0.01,0.02,0.01,0.02,0.02,0.06,0.07,0.13,0.17
2026-05-05,61,"fish (animal)","animals",0.02,0.01,0.01,0.03,0.04,0.09,0.1,0.2,0.27,0.28,0.39
2026-05-05,62,"frog","animals",0.01,0,0.01,0.02,0.01,0.02,0.02,0.07,0.09,0.13,0.2
2026-05-05,63,"giraffe","animals",0.01,0,0.01,0.01,0.01,0.01,0.02,0.04,0.06,0.11,0.15
2026-05-05,64,"goose","animals",0.01,0,0.01,0.01,0.01,0.01,0.01,0.03,0.04,0.07,0.11
2026-05-05,65,"horse","animals",0.01,0,0,0.03,0.02,0.04,0.04,0.12,0.16,0.19,0.24
